desc,fea1,fea2,fea3,fea21,fea22,fea23,similarity,label
model,0,0,0,0,0,0,-2.32831e-09,unrelated
model,3,0,1,3,0,1,0.810491,hoax
model,9,0,0,9,0,0,0.804912,hoax
model,3,0,0,3,0,0,0.775341,hoax
model,3,0,1,3,0,1,0.609004,hoax
model,1,0,0,1,0,0,0.233993,hoax
model,7,0,0,7,0,0,0.545981,hoax
model,8,0,0,8,0,0,0.74648,hoax
model,4,0,0,0,0,0,0.0257735,unrelated
model,23,0,0,4,0,0,0.0373075,unrelated
model,3,0,0,1,0,0,0.0305993,unrelated
model,0,0,0,0,0,0,0.656526,fact
model,0,1,0,0,1,0,0.87739,fact
model,0,1,0,0,1,0,0.313876,fact
model,0,1,0,0,1,0,0.641109,fact
model,2,1,0,2,1,0,0.642507,fact
model,0,0,0,0,0,0,0.584404,fact
model,0,0,0,0,0,0,0.398109,unknown
model,0,0,0,0,0,0,0.482424,unknown
model,0,0,0,0,0,0,0.553433,unknown
model,2,0,0,2,0,0,0.683881,unknown
model,1,2,0,1,2,0,0.453458,hoax
model,0,0,0,0,0,0,0.281248,unknown
model,0,0,0,0,0,0,0.61352,unknown
model,0,0,0,0,0,0,0.00318611,unrelated
model,2,0,0,2,0,0,0.943694,hoax
model,0,0,0,0,0,0,0.467748,fact
model,0,0,0,0,0,0,0.989358,fact
model,0,0,0,0,0,0,0.0685401,unrelated
model,0,0,0,0,0,0,0.0340057,unrelated
model,0,0,0,0,0,0,0.0950789,unrelated
model,0,0,0,0,0,0,0.367076,unknown
model,0,0,0,0,0,0,0.0963975,unrelated
model,6,0,0,6,0,0,0.897902,hoax
model,6,0,0,3,0,0,0.271074,hoax
model,2,0,0,2,0,0,0.374501,hoax
model,12,0,0,10,0,0,0.461343,hoax
model,2,0,0,2,0,0,0.399405,hoax
model,7,0,0,7,0,0,0.710602,hoax
model,6,0,0,6,0,0,0.656661,hoax
model,0,0,0,0,0,0,0.491787,hoax
model,8,0,0,8,0,0,0.74937,hoax
model,0,0,0,0,0,0,0.678001,fact
model,2,0,0,1,0,0,0.240057,hoax
model,2,1,0,2,1,0,0.345632,hoax
model,0,0,0,0,0,0,0.378729,hoax
model,6,0,0,6,0,0,0.408694,unrelated
model,0,0,0,0,0,0,0.259837,unrelated
model,0,0,0,0,0,0,0.00378635,unrelated
model,2,0,0,2,0,0,0.538108,hoax
model,6,0,0,6,0,0,0.512238,unknown
model,0,0,0,0,0,0,0.635361,unknown
model,2,1,1,1,1,1,0.512019,fact
model,0,0,0,0,0,0,0.0,unrelated
model,3,2,1,3,0,1,0.288968,hoax
model,0,0,0,0,0,0,0.852835,hoax
model,7,0,0,7,0,0,0.513117,hoax
model,11,3,0,11,3,0,0.47035,hoax
model,8,0,0,8,0,0,0.642184,hoax
model,0,0,0,0,0,0,0.56763,unknown
model,0,2,0,0,2,0,0.38282,hoax
model,0,0,0,0,0,0,0.127994,unknown
model,3,0,0,3,0,0,0.540559,hoax
model,0,0,0,0,0,0,0.263524,unknown
model,0,6,0,0,6,0,0.38758,hoax
model,1,0,0,1,0,0,0.485828,hoax
model,1,2,0,1,2,0,0.879596,unknown
model,1,2,0,1,2,0,0.727216,hoax
model,7,0,0,7,0,0,0.848876,hoax
model,5,3,0,5,3,0,0.259859,fact
model,15,0,0,13,0,0,0.742181,hoax
model,3,6,0,3,6,0,0.570046,fact
model,2,3,0,1,3,0,0.278607,fact
